Design optimization and analysis of CN HCCB TBM-set,"Xinghua Wu, Hongbin Liao, Xiaoyu Wang, Kaihui He, Kaiming Feng, ","Fusion Engineering and Design, In press, corrected proof, Available online 24 April 2018, ","After Conceptual Design (CD) Approval by ITER orgnization, Chinese Helium Cooled Ceramic Breeder (HCCB) Test Blanket Module (TBM) design has been updated during the preliminary design phase, in which the manufacturability was the main concerned issue. The main components design such as the back manifold zone, the rib&cap, and the breeding zone were updated through the neutronic, thermal, structural and hydraulic analyses with MCNP and ANSYS. The flow diagram of the He coolant and purge gas in TBM was optimized, which can satisfy the heat remove need of TBM. Different materials＊ temperature and stresses were well below the limit. The design of the associated TBM shield was also updated in order to simplify production and assembly."
Prediction of hydrodynamic performance of an FLNG system in side-by-side offloading operation,"Wenhua Zhao, Jianmin Yang, Zhiqiang Hu, Longbin Tao, ","Journal of Fluids and Structures, Volume 46, April 2014, Pages 89-110, ","Floating liquefied natural gas (FLNG) is a type of liquefied natural gas (LNG) production system that shows prospects in exploitation of stranded offshore gas fields. The dynamic performance of an FLNG system in side-by-side configuration with a LNG carrier under the combined actions of wave, current and wind can be quite complex. This paper presents a comprehensive study on the hydrodynamics of an FLNG system with a focus on the nonlinear coupling effects of vessels and connection systems based on the concept FLNG prototype recently designed for South China Sea. In this study, the hydrodynamic characteristics of the two floating vessels connected through hawsers and fenders are investigated using a state-of-the-art time-domain simulation code SIMO, considering their mechanical and hydrodynamic coupling effects. The simulation model consisting of FLNG and LNG carrier is developed and calibrated by a series of model tests including a tuned damping and viscous levels. The hydrodynamic performances of the two floating vessels under an extreme sea state during side-by-side offloading operation are obtained, and their relative motions and the force responses of the connection hawsers and fenders are analyzed. Sensitivity studies are conducted to clarify contributions from the pretension and the stiffness of the connection hawsers. The effects on the hydrodynamic performance of the vessels and on the loads of the connection system are also investigated."
An empirical analysis on the relationship between IPO waves and market timing on the basis of product market competition in China,"Zhiqiang Hu, Lina Han, Xiaolin Guo, ","Procedia Environmental Sciences, Volume 11, Part A, 2011, Pages 218-226, ","Since IPO waves was firstly proposed by Ibbotson& Jaffe (l975) and Ritter (1984), many scholars has analyzed it, combining with market timing. However, few of them used models or did empirical analysis on the basis of product market. Till Chemmanur&Jie He (2009) who studied the IPO waves on the product market shows us a new approach to analyze IPO waves. Thus, this paper will build a modified model on product market, which takes the policy factor in China into consideration and gives several propositions. Moreover, based on the manufacturing firms listed in A share market of Shanghai and Shenzhen securities market from July of 1999 to December of 2009, we examined hypotheses and that whether there are IPO waves in china manufacturing or not. Besides, we solve the optimal timing of going public after comparing the benefit of going public and issuing cost."
Coupled analysis of nonlinear sloshing and ship motions,"Wenhua Zhao, Jianmin Yang, Zhiqiang Hu, Longbin Tao, ","Applied Ocean Research, Volume 47, August 2014, Pages 85-97, ","A coupled numerical model considering nonlinear sloshing flows and the linear ship motions has been developed based on a boundary element method. Hydrodynamic performances of a tank containing internal fluid under regular wave excitations in sway are investigated by the present time-domain simulation model and comparative model tests. The numerical model features well the hydrodynamic performance of a tank and its internal sloshing flows obtained from the experiments. In particular, the numerical simulations of the strong nonlinear sloshing flows at the natural frequency have been validated. The influence of the excitation wave height and wave frequency on ship motions and internal sloshing has been investigated. The magnitude of the internal sloshing increases nonlinearly as the wave excitation increases. It is observed that the asymmetry of the internal sloshing relative to still water surface becomes more pronounced at higher wave excitation. The internal sloshing-induced wave elevation is found to be amplitude-modulated. The frequency of the amplitude modulation envelope is determined by the difference between the incident wave frequency and the natural frequency of the internal sloshing. Furthermore, the coupling mechanism between ship motions and internal sloshing is discussed."
Nuclear Data Sheets for A = 98,"Balraj Singh, Zhiqiang Hu, ","Nuclear Data Sheets, Volume 98, Issue 2, February 2003, Pages 335-513, ","Nuclear spectroscopic information for known nuclides of mass number 98 (Kr,Rb,Sr,Y,Zr,Nb,Mo,Tc,Ru,Rh,Pd,Ag,Cd,In) has been evaluated and presented together with adopted energies and J羽 of levels in these nuclei. No data are yet available for excited states in 98Kr and 98In. This evaluation represents a revision of earlier NDS for A=98 (1998Si18,1992Si21,1983Mu21,1974Me34)."
Chapter 10: Zinc Supplementation for Infants and Children with HIV Infection,"Lingli Zhang, Linan Zeng, Ge Gui, Yanjun Duan, Zhiqiang Hu, ","Health of HIV Infected People, 2015, Pages 151-165, ","In developing countries, about one-third or one-fourth of babies born to HIV-infected mothers are born with HIV themselves, most of whom got infected during pregnancy or at child birth. Thus the risk of mother-to-child HIV transmission seems to be great. Adequate zinc status is critical for immune function. Reduced zinc level has been reported in HIV-infected adults, associated with HIV progression. According to the studies available, advanced HIV stages are associated with low zinc level in children. While studies focused on the relation between zinc deficiency and HIV infection among children are still few in number, and the results can be controversial. The safety and efficacy of zinc supplementation to HIV-infected children still need to be further studied."
Dynamic damage evaluation on the slabs of the concrete faced rockfill dam with the plastic-damage model,"Bin Xu, Degao Zou, Xianjing Kong, Zhiqiang Hu, Yang Zhou, ","Computers and Geotechnics, Volume 65, April 2015, Pages 258-265, ","In this paper, a plastic-damage model for concrete was coupled with the generalized plastic model for rockfill materials and applied to the two-dimensional analysis of a concrete faced rockfill dam (CFRD). First, a plastic-damage model for concrete was programmed in the elastic每plastic dynamic analysis procedure for CFRDs. Previous test simulations were processed to demonstrate the performance and capability of the plastic-damage model and the developed procedure. Numerical simulations of the construction stage, impoundment process, and seismic excitation were conducted to investigate the tensile damage development in the concrete slab of a CFRD during an earthquake. The main tensile damage positions and areas of weakness in the slabs during an earthquake were clarified, which is important for the design of CFRDs. The procedure developed in this study could be adopted in the analysis of interactions between soil and concrete structures."
"Morphological investigation of the microstructure, dimensions, and fractal geometry of diesel particulates","Kyeong O. Lee, Roger Cole, Raj Sekar, Mun Y Choi, Hyun D. Shin, ","Proceedings of the Combustion Institute, Volume 29, Issue 1, 2002, Pages 647-653, ","The microstructure, dimensions, and fractal geometry of diesel particulates were investigated through morphological observations. A thermophoretic particle-sampling system was developed to collect diesel particulates directly from the high-temperature exhaust stream of a 75 hp single-cylinder direct-injection diesel engine at various engine operating conditions. The morphology of the collected diesel particulates was analyzed using a high-resolution transmission electron microscope and subsequent image processing/data acquisition system. The analysis revealed that spherical prinary particles were agglomerated together to form large aggregate clusters at most engine operating conditions. The particles produced at low loading conditions displayed amorphous structures, possibly containing a significant amount of soluble organic fraction, while the soot sample at high engine load conditions mostly exhibited graphitic structures. Measured primary particle sizes ranged from 34.4 to 28.5 nm at various engine operating conditions. The smaller primary particles observed at high engine load conditions were caused by oxidation at the encountered high temperatures. A number of small and irregularly shaped particles were captured at these conditions, which identified the existence of apparent particle oxidation. Engine-speed-dependent experiments were also performed to investigate the effects of the residence time of soot particles on particle growth. A growth mechanism of diesel particulates was suggested through analyses for fractal geometry of the cluster particles."
Linear elastic and plastic-damage analyses of a concrete cut-off wall constructed in deep overburden,"Xiang Yu, Xianjing Kong, Degao Zou, Yang Zhou, Zhiqiang Hu, ","Computers and Geotechnics, Volume 69, September 2015, Pages 462-473, ","Asphalt concrete core dams (ACCDs) are becoming more widely used worldwide. ACCDs with concrete cut-off walls (for controlling foundation seepage) have been constructed in deep overburden. It is important to assess dam safety by analysing the stress and deformation behaviour of the concrete cut-off wall. In this study, a 3D finite element (FE) procedure was developed to simulate the dam construction and water impounding processes of an ACCD. Rockfill/gravel materials were described using a Duncan每Chang model, and the interface between the concrete cut-off wall and the foundation gravel was modelled using interfacial elements that follow a tangential hyperbolic stress每strain model. The linear elastic and plastic-damage models were employed to model the concrete cut-off wall. The stress-deformation behaviour and the damage distribution of the concrete cut-off wall were numerically simulated and analysed. The results indicate that the plastic-damage model was more reliable than the elastic model in describing the mechanical behaviour of the concrete cut-off wall. The plastic-damage model can be used to evaluate the safety of concrete cut-off walls constructed in deep overburden."
Nuclear Data Sheets for 97Pd,"Zhiqiang Hu, ","Nuclear Data Sheets, Volume 92, Issue 2, February 2001, Pages 253-276, ","Abstract: In this evaluation, the experimental data from a 汕-decay study of 97Ag (1999Hu10), in combination with the data available from the previous evaluation (Agda Artna-Cohen, Nuclear Data Sheets 70, 85 (1993)), were used to assign excitation energies, 汕-decay branching ratios, logft values, spins and parities to states in 97Pd. All 污 transitions placed in the decay scheme of 97Ag 汕 decay were only accepted if at least the coincidence with 511 keV 污-quanta was observed and both of the connecting levels were confirmed by other 污 transitions."
